time,T_h,T_c,mdot,dP_pump,dP_loss
0.0,320.0,290.0,0.0,200000.0,0.0
0.1,320.00714285714287,289.98857142857145,0.4,199959.92,1.6000000000000003e-05
0.2,320.01416564,289.97726021034015,0.7999198399680001,199919.68808012802,6.39871750374431e-05
0.30000000000000004,320.021068225977,289.9660665136431,1.199759216000282,199879.30436731176,0.00014394221763776112
0.4,320.0278504954669,289.9549905038766,1.599517824447021,199838.76898891994,0.0002558457270723731
0.5,320.0345123318539,289.94403234349136,1.9991953619131695,199798.0820727611,0.0003996782095095129
0.6000000000000001,320.0410536215164,289.9331921919881,2.3987915252593353,199757.24374708324,0.0005754200781656008
0.7000000000000001,320.0474742538309,289.92247020591304,2.7983060116026617,199716.25414057245,0.0007830516534571596
0.8,320.0537741211745,289.9118665388537,3.197738518317703,199675.11338235246,0.00102255316315327
0.9,320.05995311892843,289.90138134143456,3.5970887430373018,199633.82160198363,0.0012939047425285675
1.0,320.06601114548084,289.89101476131304,3.9963563836534597,199592.37892946208,0.001597086434516776
1.1,320.07194810222944,289.8807669431757,4.395541138318211,199550.78549521888,0.0019320781898647754
1.2000000000000002,320.0777638935843,289.8706380287342,4.794642705444492,199509.04143011913,0.0022988598672872076
1.3,320.08345842697037,289.86062815672204,5.19366078370701,199467.1468654612,0.0026974112336216115
1.4000000000000001,320.08903161282973,289.8507374628905,5.59259507204311,199425.10193297575,0.0031277119639840888
1.5,320.09448336462407,289.84096608000556,5.991445269653638,199382.90676482502,0.0035897416419254954
1.6,320.09981359883665,289.8313141378445,6.390211076003805,199340.56149360168,0.004083479759588171
1.7000000000000002,320.1050222349744,289.8217817631929,6.788892190824049,199298.06625232828,0.004608905717863175
1.8,320.11010919556975,289.8123690798414,7.187488314110894,199255.42117445616,0.005165998826548067
1.9000000000000001,320.1150744061824,289.80307620858287,7.585999146127809,199212.6263938647,0.005754738304505185
2.0,320.1199177954008,289.7939032672097,7.984424387406062,199169.6820448603,0.006375103279820467
2.1,320.1246392948439,289.7848503705112,8.382763738745576,199126.58826217562,0.00702707278996277
2.2,320.12923883916244,289.77591763027084,8.78101690121578,199083.3451809687,0.0077106257819437194
2.3000000000000003,320.1337163660399,289.76710515526423,9.179183576156467,199039.95293682197,0.008425741112478062
2.4000000000000004,320.1380718161939,289.7584130512565,9.577263465178628,198996.4116657414,0.009172397548144536
2.5,320.14230513337696,289.74984142100055,9.975256270165316,198952.72150415575,0.009950573765547244
2.6,320.1464162643777,289.74139036423475,10.373161693272479,198908.88258891538,0.010760248351477557
2.7,320.15040515902103,289.73305997768114,10.770979436929814,198864.89505729164,0.011601399803076489
2.8000000000000003,320.15427177016915,289.7248503550439,11.168709203841598,198820.75904697584,0.012474006527997602
2.9000000000000004,320.1580160537217,289.7167615870074,11.566350696987536,198776.4746960784,0.013378046844570408
3.0,320.1616379686164,289.70879376123514,11.963903619623599,198732.0421431278,0.014313498981964266
3.1,320.1651374768288,289.700946962368,12.361367675282857,198687.46152706994,0.015280341080352791
3.2,320.1685145433729,289.6932212720232,12.758742567776315,198642.73298726697,0.016278551191078735
3.3000000000000003,320.1717691363005,289.6856167687934,13.156028001193746,198597.85666349652,0.017308107276819393
3.4000000000000004,320.1749012267014,289.6781335282453,13.553223679904525,198552.83269595078,0.018368987211752476
3.5,320.17791078870295,289.67077162291935,13.950329308558452,198507.66122523556,0.019461168781722493
3.6,320.18079779946953,289.6635311223285,14.347344592086586,198462.34239236932,0.02058462968440762
3.7,320.18356223920216,289.656412092958,14.744269235702065,198416.87633878237,0.021739347529487037
3.8000000000000003,320.1862040911375,289.6494145982649,15.141102944900934,198371.26320631587,0.022925299838808776
3.9000000000000004,320.18872334154713,289.64253869867764,15.537845425462967,198325.50313722092,0.024142464046558048
4.0,320.1911199797368,289.63578445159595,15.934496383452482,198279.5962741576,0.02539081749942602
4.1000000000000005,320.193393998045,289.62915191139075,16.331055525219163,198233.5427601942,0.026670337456779138
4.2,320.19554539184185,289.6226411294042,16.727522557398878,198187.34273880598,0.02798100109082883
4.3,320.19757415952773,289.61625215395,17.123897186914487,198140.99635387457,0.029322785486801787
4.4,320.199480302532,289.60998503031357,17.520179120976664,198094.5037496868,0.030695667643110665
4.5,320.20126382531095,289.60383980075267,17.9163680670847,198047.8650709339,0.032099624471525236
4.6000000000000005,320.2029247353465,289.5978165044979,18.312463733027318,198001.08046271055,0.03353463279734408
4.7,320.20446304314413,289.5919151777535,18.708465826883472,197954.15007051383,0.035000669359566666
4.800000000000001,320.20587876223084,289.58613585369795,19.10437405702316,197907.07404024235,0.03649771081106596
4.9,320.20717190915315,289.58047856248527,19.500188132108224,197859.85251819537,0.038025733718761445
5.0,320.20834250347474,289.5749433312459,19.89590776109315,197812.48565107174,0.039584714563792665
5.1000000000000005,320.2093905677742,289.56953018408797,20.291532653225865,197764.97358596895,0.04117462974169315
5.2,320.21031612764244,289.5642391420987,20.687062518048542,197717.31647038233,0.042795455562564894
5.300000000000001,320.21111921168,289.5590702233459,21.082497065398396,197669.51445220388,0.0444471682512532
5.4,320.2117998514944,289.5540234428794,21.477836005408466,197621.56767972154,0.04612974394752203
5.5,320.2123580816973,289.54909881273306,21.873079048508423,197573.476301618,0.04784315870622982
5.6000000000000005,320.2127939399014,289.5442963419264,22.268225905425343,197525.24046696996,0.04958738849750564
5.7,320.21310746671736,289.53961603646667,22.663276287184505,197476.8603252469,0.05136240920692595
5.800000000000001,320.21329870575045,289.535057899351,23.05822990511018,197428.3360263105,0.05316819663569175
