time,T_h,T_c,mdot,dP_pump,dP_loss
0.0,320.0,290.0,0.0,200000.0,0.0
0.1,320.00714285714287,289.98571428571427,0.4,199959.92,1.6000000000000003e-05
0.2,320.01416562857145,289.9715452557823,0.7999198399680001,199919.68808012802,6.39871750374431e-05
0.30000000000000004,320.0210681688335,289.95749311284,1.199759216000282,199879.30436731176,0.00014394221763776112
0.4,320.02785033546394,289.9435580566053,1.599517824447021,199838.76898891994,0.0002558457270723731
0.5,320.03451198898944,289.92974028387243,1.9991953619131695,199798.0820727611,0.0003996782095095129
0.6000000000000001,320.04105299293263,289.9160399885059,2.3987915252593353,199757.24374708324,0.0005754200781656008
0.7000000000000001,320.04747321381655,289.9024573614348,2.7983060116026617,199716.25414057245,0.0007830516534571596
0.8,320.0537725211686,289.8889925906476,3.197738518317703,199675.11338235246,0.00102255316315327
0.9,320.05995078752466,289.87564586118623,3.5970887430373018,199633.82160198363,0.0012939047425285675
1.0,320.06600788843286,289.86241735514113,3.9963563836534597,199592.37892946208,0.001597086434516776
1.1,320.07194370245736,289.84930725164594,4.395541138318211,199550.78549521888,0.0019320781898647754
1.2000000000000002,320.07775811118194,289.83631572687256,4.794642705444492,199509.04143011913,0.0022988598672872076
1.3,320.0834509992135,289.8234429540262,5.19366078370701,199467.1468654612,0.0026974112336216115
1.4000000000000001,320.08902225418535,289.8106891033404,5.59259507204311,199425.10193297575,0.0031277119639840888
1.5,320.09447176676053,289.79805434207276,5.991445269653638,199382.90676482502,0.0035897416419254954
1.6,320.09979943063473,289.78553883450013,6.390211076003805,199340.56149360168,0.004083479759588171
1.7000000000000002,320.10500514253937,289.7731427419142,6.788892190824049,199298.06625232828,0.004608905717863175
1.8,320.1100888022444,289.76086622261755,7.187488314110894,199255.42117445616,0.005165998826548067
1.9000000000000001,320.1150503125609,289.748709431919,7.585999146127809,199212.6263938647,0.005754738304505185
2.0,320.11988957934386,289.73667252213005,7.984424387406062,199169.6820448603,0.006375103279820467
2.1,320.12460651149433,289.72475564256086,8.382763738745576,199126.58826217562,0.00702707278996277
2.2,320.12920102096194,289.7129589395164,8.78101690121578,199083.3451809687,0.0077106257819437194
2.3000000000000003,320.1336730227469,289.7012825562929,9.179183576156467,199039.95293682197,0.008425741112478062
2.4000000000000004,320.1380224349022,289.68972663317436,9.577263465178628,198996.4116657414,0.009172397548144536
2.5,320.1422491785355,289.6782913074292,9.975256270165316,198952.72150415575,0.009950573765547244
2.6,320.1463531778107,289.6669767133071,10.373161693272479,198908.88258891538,0.010760248351477557
2.7,320.1503343599498,289.65578298203576,10.770979436929814,198864.89505729164,0.011601399803076489
2.8000000000000003,320.15419265523434,289.6447102418179,11.168709203841598,198820.75904697584,0.012474006527997602
2.9000000000000004,320.1579279970068,289.6337586178286,11.566350696987536,198776.4746960784,0.013378046844570408
3.0,320.16154032167196,289.62292823221253,11.963903619623599,198732.0421431278,0.014313498981964266
3.1,320.16502956869766,289.61221920408127,12.361367675282857,198687.46152706994,0.015280341080352791
3.2,320.16839568061624,289.601631649511,12.758742567776315,198642.73298726697,0.016278551191078735
3.3000000000000003,320.1716386030251,289.59116568153996,13.156028001193746,198597.85666349652,0.017308107276819393
3.4000000000000004,320.1747582845875,289.5808214101666,13.553223679904525,198552.83269595078,0.018368987211752476
3.5,320.17775467703325,289.5705989423472,13.950329308558452,198507.66122523556,0.019461168781722493
3.6,320.18062773515913,289.56049838199414,14.347344592086586,198462.34239236932,0.02058462968440762
3.7,320.18337741682916,289.55051982997406,14.744269235702065,198416.87633878237,0.021739347529487037
3.8000000000000003,320.18600368297484,289.5406633841061,15.141102944900934,198371.26320631587,0.022925299838808776
3.9000000000000004,320.18850649759526,289.5309291391605,15.537845425462967,198325.50313722092,0.024142464046558048
4.0,320.190885827757,289.52131718685706,15.934496383452482,198279.5962741576,0.02539081749942602
4.1000000000000005,320.19314164359395,289.51182761586404,16.331055525219163,198233.5427601942,0.026670337456779138
4.2,320.19527391830707,289.5024605117968,16.727522557398878,198187.34273880598,0.02798100109082883
4.3,320.19728262816386,289.49321595721705,17.123897186914487,198140.99635387457,0.029322785486801787
4.4,320.1991677524978,289.4840940316316,17.520179120976664,198094.5037496868,0.030695667643110665
4.5,320.2009292737076,289.47509481149206,17.9163680670847,198047.8650709339,0.032099624471525236
4.6000000000000005,320.20256717725647,289.46621837019376,18.312463733027318,198001.08046271055,0.03353463279734408
4.7,320.2040814516712,289.4574647780756,18.708465826883472,197954.15007051383,0.035000669359566666
4.800000000000001,320.2054720885407,289.4488341024195,19.10437405702316,197907.07404024235,0.03649771081106596
4.9,320.20673908251536,289.4403264074503,19.500188132108224,197859.85251819537,0.038025733718761445
5.0,320.20788243130505,289.4319417543356,19.89590776109315,197812.48565107174,0.039584714563792665
5.1000000000000005,320.2089021356782,289.4236802011856,20.291532653225865,197764.97358596895,0.04117462974169315
5.2,320.20979819945984,289.41554180305366,20.687062518048542,197717.31647038233,0.042795455562564894
5.300000000000001,320.21057062953,289.40752661193613,21.082497065398396,197669.51445220388,0.0444471682512532
5.4,320.2112194358218,289.39963467677313,21.477836005408466,197621.56767972154,0.04612974394752203
5.5,320.21174463131945,289.3918660434489,21.873079048508423,197573.476301618,0.04784315870622982
5.6000000000000005,320.2121462320561,289.3842207547925,22.268225905425343,197525.24046696996,0.04958738849750564
5.7,320.21242425711176,289.3766988505788,22.663276287184505,197476.8603252469,0.05136240920692595
5.800000000000001,320.2125787286106,289.369300367529,23.05822990511018,197428.3360263105,0.05316819663569175
