time,T_h_model,T_h_meas,T_h_assim,T_c_model,T_c_meas,T_c_assim,mdot_model,mdot_assim,dP_pump_mean
0.0,320.06818972069317,320.0163038715785,320.0718800708082,289.9581608622157,290.01402494779285,289.9840479521531,1.6000000000000003,1.6000000000000003,160000.0
0.5,320.105187329953,319.55623108674473,320.06335650490735,289.91511101508286,290.2223122078196,289.945384635857,3.198709757434649,3.1987097574268684,159870.97599999997
1.0,320.0942538580971,320.1461122687646,320.1064946403046,289.8788241724341,289.6662892513691,289.8627163006784,4.796109852470973,4.796109852468652,159740.01052176097
1.5,320.1349563018554,319.8221977047814,320.10048383392245,289.7987089270211,289.4792753909728,289.7514873784783,6.392180930890773,6.392180930877934,159607.11014391572
2.0,320.126498305816,320.2575784281415,320.1287964043702,289.6893221475415,290.81790074245004,289.7814345192249,7.986903705708096,7.986903705592995,159472.28153470854
2.5,320.15239161722974,320.1395404943479,320.1692097373812,289.7209880204037,290.31847480340076,289.76591843470766,9.580258956296682,9.580258956131773,159335.53145123157
3.0,320.19036045290557,319.2240138083715,320.1113032056981,289.70860974317935,290.39476365282036,289.75330715478367,11.172227532595361,11.172227532090645,159196.86673884283
3.5,320.13005916944746,319.9770512614802,320.1275311141868,289.69889512191986,289.7807986264364,289.7037460385264,12.762790350275404,12.762790350202351,159056.29433022122
4.0,320.14383078037207,320.718817315392,320.1960980462782,289.6508406879882,289.5658226724761,289.64763805740125,14.351928399231863,14.351928400726422,158913.82124497453
4.5,320.2098908664668,319.4593359717666,320.1393184967763,289.597478843334,289.94788849506347,289.63276345197903,15.939622740010229,15.939622737962381,158769.45458841405
5.0,320.15071963356814,320.1413778673157,320.14364126356793,289.5860443757007,290.33538780739235,289.6406724082895,17.525854498615562,17.525854498931785,158623.20155175158
5.5,320.15262601958506,320.18420613594304,320.1637173259335,289.59562302265863,289.21936250982804,289.57207041877456,19.110604888233123,19.11060488830413,158475.06940971836
6.0,320.1702003678015,320.9309201817023,320.2243625955531,289.5299068704378,289.83808596922114,289.54727680939374,20.693855177688448,20.693855180840686,158325.06552125694
6.5,320.22833552273596,320.4594524121947,320.25666182087457,289.50736191786405,289.1422460000112,289.48477511381117,22.27558672359643,22.275586724059423,158173.1973286345
7.0,320.2581030150386,320.2320811135822,320.2626500725873,289.4474104263059,290.2814966940628,289.4917125288975,23.85578095241393,23.855780953921418,158019.4723565148
7.5,320.2616611210122,320.61535910512123,320.28843444428554,289.45571055319937,289.80945538224125,289.4876033474078,25.434419361840696,25.434419363004068,157863.89820971768
8.0,320.2849786672575,320.2881596564636,320.28775131744794,289.45516757837646,289.8316737705013,289.4722321985527,27.011483548379005,27.01148354894833,157706.4825756264
8.5,320.2818469587757,321.09987380095936,320.31875133044844,289.44148947407774,290.0467165198288,289.4764541378597,28.586955162060832,28.586955163168046,157547.2332186781
9.0,320.31038124781406,320.59459205930693,320.32353777930456,289.44848005325304,290.34313148818046,289.50379097950514,30.160815921529966,30.160815925652496,157386.15798474618
9.5,320.3127746295137,319.8875134598882,320.2939072312593,289.4775389945064,289.4288317521889,289.4765981431898,31.73304766486314,31.733047664716736,157223.26479902735
10.0,320.28072516006415,320.01453550483114,320.275099470082,289.4526181588937,289.3660322650437,289.44463800598146,33.30363227210147,33.303632272071624,157058.5616611862
10.5,320.25947543822735,320.36241230463645,320.26039531333737,289.4232288299174,288.8265148304847,289.39821352685686,34.87255172765167,34.87255172540744,156892.0566492289
11.0,320.2422974475163,320.2935400036713,320.234529270171,289.3804703339963,289.0264944424149,289.36812187367894,36.43978809860759,36.43978809844121,156723.7579164309
11.5,320.21400528864086,319.7443044317822,320.1939361938345,289.3526877198711,290.068592715332,289.38144639339566,38.0053235087345,38.005323507171845,156553.67368946096
12.0,320.1710985474023,319.93421656491506,320.1589226453185,289.36801796172756,288.7371268755913,289.3379392331432,39.569140182974444,39.56914018281309,156381.81227347234
12.5,320.13365894037236,319.56133334140696,320.1195948008289,289.3269998639926,290.07540420691316,289.35982160274835,41.13122044748125,41.13122044743614,156208.1820434521
13.0,320.09204973592705,319.05969301747416,320.0653598995226,289.3520077439144,289.64699406718455,289.35728731808615,42.69154667598099,42.691546669676406,156032.79144600686
13.5,320.0355254295495,320.32520169202536,320.0439417814256,289.3513915093642,289.0201060659939,289.33931315143013,44.25010132657764,44.25010132875355,155855.64900360623
14.0,320.01172192073284,320.76932445781506,320.02970806422843,289.33575914602966,290.1055972266128,289.3667776446562,45.80686699166205,45.80686699861775,155676.76330665773
14.5,319.9951937111667,319.5470904323797,319.9844086586361,289.3656794149616,289.2077035235465,289.3593294614782,47.36182632315754,47.361826314940025,155496.14301441898
15.0,319.94759996025937,320.5803064865,319.95692880671226,289.36042607295826,289.47802011497697,289.36303737512304,48.914962032938575,48.914962041578,155313.7968580502
15.5,319.91781814052246,320.18081931369557,319.924334955971,289.36601248366065,289.70077605393755,289.3740148471517,50.46625699950195,50.46625700801314,155129.73363206215
16.0,319.88296122637075,320.7431084967821,319.8968452169672,289.3793193157227,288.799513064233,289.36932186406415,52.01569407159182,52.015694084713914,154943.9622007994
16.5,319.8531639868869,319.73531699234013,319.85138978086275,289.37779308436615,288.4880294460961,289.359627840687,53.56325629728713,53.56325629408154,154756.49150077708
17.0,319.8054421635938,320.04043580525945,319.8080107471342,289.3704976999341,288.75023509767266,289.35631282991307,55.10892671303256,55.10892671877319,154567.3305265433
17.5,319.75981701339896,319.18846658816784,319.7476811571595,289.36916770006906,289.09759522497535,289.3607905885529,56.65268855486489,56.65268853553975,154376.4883408601
18.0,319.6973204905261,319.62931367391553,319.693744691295,289.3760135130087,289.70854880532596,289.38072701215134,58.194525037495765,58.19452503164264,154183.97406983486
18.5,319.6412563937033,319.78895331506493,319.6437487825913,289.39747513292144,289.51300840633684,289.40148028882214,59.73441961819997,59.73441962063456,153989.7969000052
19.0,319.58913785048065,319.5594792065092,319.5879882630954,289.4211110664098,289.2373769710798,289.41683597611586,61.27235569732394,61.27235569619043,153793.96607538362
19.5,319.5312696700746,320.1071209989422,319.5436721255752,289.4386644945128,289.89615938607074,289.44644312499474,62.808316829986104,62.808316855154736,153596.4909152806
20.0,319.48486859651257,318.7157616619569,319.4718272184784,289.4702646440309,289.76053507816704,289.4727507572941,64.34228673814167,64.34228671558856,153397.3807851166
20.5,319.4110310452489,320.06597712418665,319.41779481942757,289.4984741365281,288.64483571726845,289.4874279240464,65.87424900388991,65.8742490167724,153196.6451188365
21.0,319.3549270830401,319.9903864375169,319.36699355470296,289.5157149124613,289.51448559823785,289.51589552704377,67.40418760739087,67.40418762681918,152994.29340524873
21.5,319.30210338980083,319.3403840260056,319.3019764054835,289.5465025153125,289.54178443361354,289.5461858646239,68.93208646963991,68.93208646946685,152790.3351860019
22.0,319.23513425487096,318.8394168602591,319.22910045484485,289.5783728434842,289.3940731254779,289.57312242141774,70.45792953410563,70.45792952539762,152584.78006442904
22.5,319.16033980004437,320.4398053893258,319.1792913056042,289.6077824041764,289.9122060191512,289.6163207721871,71.98170098555445,71.98170101430114,152377.63770476583
23.0,319.1086059460163,319.8807142447538,319.1206377300748,289.6537787828675,289.69904629512394,289.6556199317875,73.50338496739609,73.50338499586992,152168.91780649102
